cue,image_type,group size,friend_friends,
../User/Stimuli/face_video/121_1_f2f.png,face to face,one,a friend,
../User/Stimuli/face_video/121_2_f2f.png,face to face,one,a friend,
../User/Stimuli/face_video/121_3_f2f.png,face to face,one,a friend,
../User/Stimuli/face_video/121_4_f2f.png,face to face,one,a friend,
../User/Stimuli/face_video/lg_1_f2f.png,face to face,large,friends,
../User/Stimuli/face_video/lg_2_f2f.png,face to face,large,friends,
../User/Stimuli/face_video/lg_3_f2f.png,face to face,large,friends,
../User/Stimuli/face_video/lg_4_f2f.png,face to face,large,friends,
../User/Stimuli/face_video/sg_1_f2f.png,face to face,small,friends,
../User/Stimuli/face_video/sg_2_f2f.png,face to face,small,friends,
../User/Stimuli/face_video/sg_3_f2f.png,face to face,small,friends,
../User/Stimuli/face_video/sg_4_f2f.png,face to face,small,friends,
../User/Stimuli/face_video/121_1_video.png,video,one,a friend,
../User/Stimuli/face_video/121_2_video.png,video,one,a friend,
../User/Stimuli/face_video/121_3_video.png,video,one,a friend,
../User/Stimuli/face_video/121_4_video.png,video,one,a friend,
../User/Stimuli/face_video/lg_1_video.png,video,large,friends,
../User/Stimuli/face_video/lg_2_video.png,video,large,friends,
../User/Stimuli/face_video/lg_3_video.png,video,large,friends,
../User/Stimuli/face_video/lg_4_video.png,video,large,friends,
../User/Stimuli/face_video/sg_1_video.png,video,small,friends,
../User/Stimuli/face_video/sg_2_video.png,video,small,friends,
../User/Stimuli/face_video/sg_3_video.png,video,small,friends,
../User/Stimuli/face_video/sg_4_video.png,video,small,friends,
,,,,